Site Occupation Location,Toponyms,SubOc1,Period,Period No.,Period Start,Period End,Estimated Span,Area
853,C.le di Tragliatella,A,Republican Period,7,-350,-30,320,0.2
853,C.le di Tragliatella,A,Early Imperial Period,8,-30,100,130,0.2
854,le Grotte,A,Early Imperial Period,8,-30,100,130,1
854,le Grotte,A,Mid-Imperial Period,9,100,300,200,1
854,le Grotte,A,Late Imperial Period,10,300,500,200,1
855,le Grotte,A,Archaic Period,6,-500,-350,150,0.2
855,le Grotte,A,Republican Period,7,-350,-30,320,0.2
855,le Grotte,A,Early Imperial Period,8,-30,100,130,0.2
855,le Grotte,A,Mid-Imperial Period,9,100,300,200,0.2
855,le Grotte,A,Late Imperial Period,10,300,500,200,0.2
856,le Grotte,A,Archaic Period,6,-500,-350,150,0.1
856,le Grotte,A,Republican Period,7,-350,-30,320,0.1
856,le Grotte,A,Early Imperial Period,8,-30,100,130,0.1
857,le Grotte,A,Late Iron Age,5,-600,-580,20,0.5
857,le Grotte,A,Archaic Period,6,-580,-350,230,0.5
857,le Grotte,A,Republican Period,7,-350,-30,320,0.5
857,le Grotte,A,Early Imperial Period,8,-30,100,130,0.5
857,le Grotte,A,Mid-Imperial Period,9,100,300,200,0.5
857,le Grotte,A,Late Imperial Period,10,300,500,200,0.5
858,le Grotte,A,Early Bronze Age,1,-2300,-1700,600,1
858,le Grotte,A,Middle Bronze Age,2,-1700,-1300,400,1
858,le Grotte,A,Late Bronze Age,3,-1300,-1020,280,1
858,le Grotte,A,Early Iron Age,4,-1020,-1000,20,1
858,le Grotte,B,Late Iron Age,5,-600,-580,20,1
858,le Grotte,B,Archaic Period,6,-580,-350,230,1
858,le Grotte,B,Republican Period,7,-350,-30,320,1
858,le Grotte,B,Early Imperial Period,8,-30,100,130,1
858,le Grotte,B,Mid-Imperial Period,9,100,300,200,1
859,Quarto della Caduta,A,Late Iron Age,5,-600,-580,20,0.30000001
859,Quarto della Caduta,A,Archaic Period,6,-580,-350,230,0.30000001
859,Quarto della Caduta,A,Republican Period,7,-350,-30,320,0.30000001
859,Quarto della Caduta,A,Early Imperial Period,8,-30,100,130,0.30000001
860,Quarto della Caduta,A,Early Bronze Age,1,-2300,-1700,600,0.30000001
860,Quarto della Caduta,A,Middle Bronze Age,2,-1700,-1300,400,0.30000001
860,Quarto della Caduta,A,Late Bronze Age,3,-1300,-1020,280,0.30000001
860,Quarto della Caduta,A,Early Iron Age,4,-1020,-1000,20,0.30000001
860,Quarto della Caduta,B,Late Iron Age,5,-700,-580,120,0.30000001
860,Quarto della Caduta,B,Archaic Period,6,-580,-350,230,0.30000001
860,Quarto della Caduta,B,Republican Period,7,-350,-30,320,0.30000001
860,Quarto della Caduta,B,Early Imperial Period,8,-30,100,130,0.30000001
860,Quarto della Caduta,B,Mid-Imperial Period,9,100,300,200,0.30000001
860,Quarto della Caduta,B,Late Imperial Period,10,300,500,200,0.30000001
861,Selciatella,A,Late Iron Age,5,-600,-580,20,0.30000001
861,Selciatella,A,Archaic Period,6,-580,-500,80,0.30000001
862,Selciatella,A,Late Iron Age,5,-600,-580,20,0.30000001
862,Selciatella,A,Archaic Period,6,-580,-350,230,0.30000001
862,Selciatella,A,Republican Period,7,-350,-30,320,0.30000001
862,Selciatella,A,Early Imperial Period,8,-30,100,130,0.30000001
863,Quarto della Caduta,A,Middle Bronze Age,2,-1700,-1300,400,0.30000001
863,Quarto della Caduta,B,Late Iron Age,5,-600,-580,20,0.30000001
863,Quarto della Caduta,B,Archaic Period,6,-580,-350,230,0.30000001
863,Quarto della Caduta,B,Republican Period,7,-350,-30,320,0.30000001
863,Quarto della Caduta,B,Early Imperial Period,8,-30,100,130,0.30000001
864,Quarto della Caduta,A,Early Bronze Age,1,-2300,-1700,600,0.2
864,Quarto della Caduta,A,Middle Bronze Age,2,-1700,-1300,400,0.2
864,Quarto della Caduta,A,Late Bronze Age,3,-1300,-1020,280,0.2
864,Quarto della Caduta,A,Early Iron Age,4,-1020,-1000,20,0.2
865,Fosso della Caduta,A,Late Iron Age,5,-600,-580,20,0.050000001
865,Fosso della Caduta,A,Archaic Period,6,-580,-500,80,0.050000001
866,Gestino,A,Republican Period,7,-200,-30,170,0.30000001
866,Gestino,A,Early Imperial Period,8,-30,100,130,0.30000001
866,Gestino,A,Mid-Imperial Period,9,100,200,100,0.30000001
867,,A,Republican Period,7,-100,-30,70,0.2
867,,A,Early Imperial Period,8,-30,100,130,0.2
868,Quarto di S. Andrea,A,Republican Period,7,-100,-30,70,0.60000002
868,Quarto di S. Andrea,A,Early Imperial Period,8,-30,100,130,0.60000002
869,Colle S. Angelo,A,Republican Period,7,-200,-30,170,0.1
870,Quarto di S. Andrea,A,Archaic Period,6,-500,-350,150,0.2
870,Quarto di S. Andrea,A,Republican Period,7,-350,-30,320,0.2
871,Quarto di S. Andrea,A,Late Iron Age,5,-600,-580,20,0.5
871,Quarto di S. Andrea,A,Archaic Period,6,-580,-500,80,0.5
872,i Selci,A,Late Bronze Age,3,-1200,-1020,180,0.1
872,i Selci,A,Early Iron Age,4,-1020,-1000,20,0.1
872,i Selci,B,Late Iron Age,5,-700,-600,100,0.1
873,i Selci,A,Late Iron Age,5,-600,-580,20,0.1
873,i Selci,A,Archaic Period,6,-580,-350,230,0.1
873,i Selci,A,Republican Period,7,-350,-30,320,0.1
873,i Selci,A,Early Imperial Period,8,-30,100,130,0.1
873,i Selci,A,Mid-Imperial Period,9,100,300,200,0.1
873,i Selci,A,Late Imperial Period,10,300,500,200,0.1
874,i Selci,A,Republican Period,7,-100,-30,70,0.60000002
874,i Selci,A,Early Imperial Period,8,-30,100,130,0.60000002
874,i Selci,A,Mid-Imperial Period,9,100,300,200,0.60000002
874,i Selci,A,Late Imperial Period,10,300,500,200,0.60000002
875,il Castellaccio,A,Early Bronze Age,1,-2300,-1700,600,0.2
875,il Castellaccio,A,Middle Bronze Age,2,-1700,-1300,400,0.2
875,il Castellaccio,A,Late Bronze Age,3,-1300,-1020,280,0.2
875,il Castellaccio,A,Early Iron Age,4,-1020,-1000,20,0.2
876,i Selci,A,Late Iron Age,5,-600,-580,20,0.2
876,i Selci,A,Archaic Period,6,-580,-350,230,0.2
876,i Selci,A,Republican Period,7,-350,-30,320,0.2
876,i Selci,A,Early Imperial Period,8,-30,100,130,0.2
876,i Selci,A,Mid-Imperial Period,9,100,300,200,0.2
876,i Selci,A,Late Imperial Period,10,300,500,200,0.2
877,Quarto del Castellaccio,A,Republican Period,7,-100,-30,70,0.5
877,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.5
877,Quarto del Castellaccio,A,Mid-Imperial Period,9,100,300,200,0.5
878,la Calcara,A,Archaic Period,6,-500,-350,150,0.60000002
878,la Calcara,A,Republican Period,7,-350,-30,320,0.60000002
878,la Calcara,A,Early Imperial Period,8,-30,100,130,0.60000002
878,la Calcara,A,Mid-Imperial Period,9,100,300,200,0.60000002
878,la Calcara,A,Late Imperial Period,10,300,500,200,0.60000002
879,la Calcara,A,Republican Period,7,-100,-30,70,0.2
879,la Calcara,A,Early Imperial Period,8,-30,100,130,0.2
880,la Calcara,A,Republican Period,7,-100,-30,70,0.30000001
880,la Calcara,A,Early Imperial Period,8,-30,100,130,0.30000001
881,Quarto del Castellaccio,A,Republican Period,7,-200,-30,170,0.30000001
881,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.30000001
882,Quarto del Castellaccio,A,Late Iron Age,5,-600,-580,20,1
882,Quarto del Castellaccio,A,Archaic Period,6,-580,-350,230,1
882,Quarto del Castellaccio,A,Republican Period,7,-350,-30,320,1
882,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,1
882,Quarto del Castellaccio,A,Mid-Imperial Period,9,100,300,200,1
882,Quarto del Castellaccio,A,Late Imperial Period,10,300,500,200,1
883,C.Le del Castellaccio,A,Republican Period,7,-200,-30,170,0.1
883,C.Le del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.1
884,C.Le del Castellaccio,A,Archaic Period,6,-500,-350,150,0.2
884,C.Le del Castellaccio,A,Republican Period,7,-350,-200,150,0.2
885,Quarto del Castellaccio,A,Archaic Period,6,-500,-350,150,0.2
885,Quarto del Castellaccio,A,Republican Period,7,-350,-30,320,0.2
885,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.2
885,Quarto del Castellaccio,A,Mid-Imperial Period,9,100,300,200,0.2
885,Quarto del Castellaccio,A,Late Imperial Period,10,300,500,200,0.2
886,Fosso della Caduta,A,Republican Period,7,-100,-30,70,0.5
887,Quarto del Castellaccio,A,Republican Period,7,-100,-30,70,0.2
887,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.2
888,Quarto del Castellaccio,A,Republican Period,7,-100,-30,70,0.1
888,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.1
889,Quarto del Castellaccio,A,Republican Period,7,-200,-30,170,0.60000002
889,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.60000002
889,Quarto del Castellaccio,A,Mid-Imperial Period,9,100,300,200,0.60000002
889,Quarto del Castellaccio,A,Late Imperial Period,10,300,500,200,0.60000002
890,Quarto del Castellaccio,A,Republican Period,7,-200,-30,170,0.5
890,Quarto del Castellaccio,A,Early Imperial Period,8,-30,100,130,0.5
890,Quarto del Castellaccio,A,Mid-Imperial Period,9,100,300,200,0.5
890,Quarto del Castellaccio,A,Late Imperial Period,10,300,400,100,0.5
891,,A,Archaic Period,6,-500,-350,150,0.30000001
891,,A,Republican Period,7,-350,-30,320,0.30000001
891,,A,Early Imperial Period,8,-30,100,130,0.30000001
892,,A,Republican Period,7,-100,-30,70,0.30000001
892,,A,Early Imperial Period,8,-30,100,130,0.30000001
892,,A,Mid-Imperial Period,9,100,300,200,0.30000001
893,,A,Late Iron Age,5,-600,-580,20,0.2
893,,A,Archaic Period,6,-580,-350,230,0.2
893,,A,Republican Period,7,-350,-30,320,0.2
894,,A,Late Iron Age,5,-600,-580,20,0.1
894,,A,Archaic Period,6,-580,-350,230,0.1
894,,A,Republican Period,7,-350,-200,150,0.1
895,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.5
895,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.5
896,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.2
896,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.2
896,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.2
896,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.2
897,Castel Lombardo,A,Middle Bronze Age,2,-1700,-1300,400,0.2
898,Castel Lombardo,A,Late Imperial Period,10,400,500,100,0.5
899,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.30000001
899,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.30000001
900,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.2
900,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.2
900,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.2
901,Castel Lombardo,A,Archaic Period,6,-500,-350,150,0.80000001
901,Castel Lombardo,A,Republican Period,7,-350,-30,320,0.80000001
901,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.80000001
901,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.80000001
901,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.80000001
902,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.1
902,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.1
902,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.1
903,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.1
904,Castel Lombardo,A,Republican Period,7,-200,-30,170,0.40000001
904,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.40000001
905,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.2
905,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.2
906,Castel Lombardo,A,Archaic Period,6,-500,-350,150,0.80000001
906,Castel Lombardo,A,Republican Period,7,-350,-30,320,0.80000001
906,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.80000001
906,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.80000001
906,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.80000001
907,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.1
907,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.1
907,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.1
907,Castel Lombardo,A,Late Imperial Period,10,300,500,200,0.1
908,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.30000001
908,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.30000001
908,Castel Lombardo,A,Mid-Imperial Period,9,100,300,200,0.30000001
909,Castel Lombardo,A,Republican Period,7,-100,-30,70,0.2
909,Castel Lombardo,A,Early Imperial Period,8,-30,100,130,0.2
910,,A,Republican Period,7,-100,-30,70,0.1
910,,A,Early Imperial Period,8,-30,100,130,0.1
911,,A,Republican Period,7,-100,-30,70,0.2
911,,A,Early Imperial Period,8,-30,100,130,0.2
911,,A,Mid-Imperial Period,9,100,300,200,0.2
911,,A,Late Imperial Period,10,300,500,200,0.2
912,Pascolaro della Ficoncella,A,Republican Period,7,-100,-30,70,0.1
912,Pascolaro della Ficoncella,A,Early Imperial Period,8,-30,100,130,0.1
913,Pascolaro della Ficoncella,A,Late Iron Age,5,-600,-580,20,0.2
913,Pascolaro della Ficoncella,A,Archaic Period,6,-580,-500,80,0.2
913,Pascolaro della Ficoncella,B,Republican Period,7,-100,-30,70,0.2
913,Pascolaro della Ficoncella,B,Early Imperial Period,8,-30,100,130,0.2
914,Pascolaro della Ficoncella,A,Early Imperial Period,8,-30,100,130,0.1
915,Pascolaro della Ficoncella,A,Republican Period,7,-200,-30,170,0.2
916,la Mola di Torrimpietra,A,Republican Period,7,-200,-30,170,0.40000001
916,la Mola di Torrimpietra,A,Early Imperial Period,8,-30,100,130,0.40000001
917,la Mola di Torrimpietra,A,Republican Period,7,-100,-30,70,0.1
917,la Mola di Torrimpietra,A,Early Imperial Period,8,-30,100,130,0.1
918,C.le S. Angelo,A,Republican Period,7,-100,-30,70,0.5
918,C.le S. Angelo,A,Early Imperial Period,8,-30,100,130,0.5
919,C.le S. Angelo,A,Republican Period,7,-100,-30,70,0.1
920,,A,Republican Period,7,-200,-30,170,1.5
920,,A,Early Imperial Period,8,-30,100,130,1.5
920,,A,Mid-Imperial Period,9,100,300,200,1.5
920,,A,Late Imperial Period,10,300,500,200,1.5
921,Macchia della Signora,A,Archaic Period,6,-500,-350,150,1
921,Macchia della Signora,A,Republican Period,7,-350,-30,320,1
921,Macchia della Signora,A,Early Imperial Period,8,-30,100,130,1
922,Macchia della Signora,A,Republican Period,7,-200,-30,170,0.30000001
922,Macchia della Signora,A,Early Imperial Period,8,-30,100,130,0.30000001
922,Macchia della Signora,A,Mid-Imperial Period,9,100,300,200,0.30000001
923,Granaretto,A,Late Iron Age,5,-600,-580,20,0.1
923,Granaretto,A,Archaic Period,6,-580,-500,80,0.1
924,Granaretto,A,Republican Period,7,-200,-30,170,0.2
924,Granaretto,A,Early Imperial Period,8,-30,100,130,0.2
925,,A,Late Iron Age,5,-600,-580,20,0.1
925,,A,Archaic Period,6,-580,-500,80,0.1
925,,B,Republican Period,7,-100,-30,70,0.1
926,,A,Late Iron Age,5,-600,-580,20,0.30000001
926,,A,Archaic Period,6,-580,-500,80,0.30000001
927,Granaretto,A,Late Iron Age,5,-600,-580,20,0.2
927,Granaretto,A,Archaic Period,6,-580,-500,80,0.2
927,Granaretto,B,Republican Period,7,-300,-100,200,0.2
928,Casale Pianpozzetto,A,Republican Period,7,-200,-30,170,0.30000001
928,Casale Pianpozzetto,A,Early Imperial Period,8,-30,100,130,0.30000001
928,Casale Pianpozzetto,A,Mid-Imperial Period,9,100,300,200,0.30000001
929,Casale Pianpozzetto,A,Late Iron Age,5,-600,-580,20,0.1
929,Casale Pianpozzetto,A,Archaic Period,6,-580,-500,80,0.1
930,,A,Republican Period,7,-200,-30,170,0.1
930,,A,Early Imperial Period,8,-30,100,130,0.1
931,Casale Pianpozzetto,A,Republican Period,7,-200,-30,170,0.30000001
932,,A,Republican Period,7,-200,-30,170,0.60000002
932,,A,Early Imperial Period,8,-30,100,130,0.60000002
932,,A,Mid-Imperial Period,9,100,300,200,0.60000002
933,Quarto di Pianpozzello,A,Republican Period,7,-100,-30,70,0.2
934,Quarto di Tragliata,A,Archaic Period,6,-500,-350,150,0.40000001
934,Quarto di Tragliata,A,Republican Period,7,-350,-30,320,0.40000001
934,Quarto di Tragliata,A,Early Imperial Period,8,-30,100,130,0.40000001
935,Quarto di S. Andrea,A,Archaic Period,6,-500,-350,150,0.1
935,Quarto di S. Andrea,A,Republican Period,7,-350,-30,320,0.1
935,Quarto di S. Andrea,A,Early Imperial Period,8,-30,100,130,0.1
935,Quarto di S. Andrea,A,Mid-Imperial Period,9,100,300,200,0.1
935,Quarto di S. Andrea,A,Late Imperial Period,10,300,500,200,0.1
936,Quarto di S. Andrea,A,Republican Period,7,-100,-30,70,0.1
936,Quarto di S. Andrea,A,Early Imperial Period,8,-30,100,130,0.1
937,Quarto di S. Andrea,A,Republican Period,7,-100,-30,70,0.30000001
937,Quarto di S. Andrea,A,Early Imperial Period,8,-30,100,130,0.30000001
938,C.le di S. Andrea,A,Republican Period,7,-100,-30,70,0.1
938,C.le di S. Andrea,A,Early Imperial Period,8,-30,100,130,0.1
939,,A,Middle Bronze Age,2,-1700,-1300,400,0.1
940,Gestino,A,Republican Period,7,-200,-30,170,0.2
940,Gestino,A,Early Imperial Period,8,-30,100,130,0.2
941,Riserva i Pontoni,A,Archaic Period,6,-500,-350,150,0.2
941,Riserva i Pontoni,A,Republican Period,7,-350,-30,320,0.2
941,Riserva i Pontoni,A,Early Imperial Period,8,-30,100,130,0.2
942,Riserva i Pontoni,A,Republican Period,7,-100,-30,70,0.2
942,Riserva i Pontoni,A,Early Imperial Period,8,-30,100,130,0.2
943,Riserva i Pontoni,A,Late Iron Age,5,-600,-580,20,0.5
943,Riserva i Pontoni,A,Archaic Period,6,-580,-350,230,0.5
943,Riserva i Pontoni,A,Republican Period,7,-350,-30,320,0.5
944,Riserva i Pontoni,A,Late Iron Age,5,-600,-580,20,0.2
944,Riserva i Pontoni,A,Archaic Period,6,-580,-350,230,0.2
944,Riserva i Pontoni,A,Republican Period,7,-350,-300,50,0.2
945,Riserva i Pontoni,A,Archaic Period,6,-500,-350,150,0.40000001
945,Riserva i Pontoni,A,Republican Period,7,-350,-30,320,0.40000001
945,Riserva i Pontoni,A,Early Imperial Period,8,-30,100,130,0.40000001
946,Dorsale di Monte Cardello,A,Archaic Period,6,-500,-350,150,0.2
946,Dorsale di Monte Cardello,A,Republican Period,7,-350,-30,320,0.2
946,Dorsale di Monte Cardello,A,Early Imperial Period,8,-30,100,130,0.2
947,Dorsale di Monte Cardello,A,Republican Period,7,-100,-30,70,0.30000001
947,Dorsale di Monte Cardello,A,Early Imperial Period,8,-30,100,130,0.30000001
947,Dorsale di Monte Cardello,A,Mid-Imperial Period,9,100,300,200,0.30000001
948,Quarto di Tragliata,A,Republican Period,7,-200,-30,170,0.2
949,Quarto di Tragliata,A,Archaic Period,6,-500,-350,150,0.2
949,Quarto di Tragliata,A,Republican Period,7,-350,-30,320,0.2
949,Quarto di Tragliata,A,Early Imperial Period,8,-30,100,130,0.2
949,Quarto di Tragliata,A,Mid-Imperial Period,9,100,300,200,0.2
949,Quarto di Tragliata,A,Late Imperial Period,10,300,500,200,0.2
950,Quarto di Tragliata,A,Republican Period,7,-100,-30,70,0.5
950,Quarto di Tragliata,A,Early Imperial Period,8,-30,100,130,0.5
950,Quarto di Tragliata,A,Mid-Imperial Period,9,100,300,200,0.5
951,C.le dei Ricci,A,Republican Period,7,-200,-30,170,0.5
951,C.le dei Ricci,A,Early Imperial Period,8,-30,100,130,0.5
951,C.le dei Ricci,A,Mid-Imperial Period,9,100,300,200,0.5
951,C.le dei Ricci,A,Late Imperial Period,10,300,500,200,0.5
952,Quarto di Tragliata,A,Early Bronze Age,1,-2300,-1700,600,0.1
952,Quarto di Tragliata,A,Middle Bronze Age,2,-1700,-1300,400,0.1
952,Quarto di Tragliata,A,Late Bronze Age,3,-1300,-1020,280,0.1
952,Quarto di Tragliata,A,Early Iron Age,4,-1020,-1000,20,0.1
952,Quarto di Tragliata,B,Late Iron Age,5,-600,-580,20,0.1
952,Quarto di Tragliata,B,Archaic Period,6,-580,-500,80,0.1
953,,A,Republican Period,7,-200,-30,170,0.40000001
953,,A,Early Imperial Period,8,-30,100,130,0.40000001
953,,A,Mid-Imperial Period,9,100,300,200,0.40000001
953,,A,Late Imperial Period,10,300,500,200,0.40000001
954,C.le dei Ricci,A,Republican Period,7,-200,-30,170,0.2
954,C.le dei Ricci,A,Early Imperial Period,8,-30,100,130,0.2
954,C.le dei Ricci,A,Mid-Imperial Period,9,100,300,200,0.2
954,C.le dei Ricci,A,Late Imperial Period,10,300,500,200,0.2
955,C.le dei Ricci,A,Republican Period,7,-100,-30,70,0.2
955,C.le dei Ricci,A,Early Imperial Period,8,-30,100,130,0.2
956,C.le dei Ricci,A,Late Iron Age,5,-600,-580,20,0.1
956,C.le dei Ricci,A,Archaic Period,6,-580,-500,80,0.1
956,C.le dei Ricci,B,Republican Period,7,-100,-30,70,0.1
956,C.le dei Ricci,B,Early Imperial Period,8,-30,100,130,0.1
957,Cantinaccia,A,Archaic Period,6,-500,-350,150,0.2
957,Cantinaccia,A,Republican Period,7,-350,-30,320,0.2
957,Cantinaccia,A,Early Imperial Period,8,-30,100,130,0.2
957,Cantinaccia,A,Mid-Imperial Period,9,100,300,200,0.2
957,Cantinaccia,A,Late Imperial Period,10,300,500,200,0.2
958,C.le di Castiglione,A,Late Bronze Age,3,-1200,-1020,180,0.1
958,C.le di Castiglione,A,Early Iron Age,4,-1020,-1000,20,0.1
959,Muracciole,A,Republican Period,7,-100,-30,70,0.1
960,Muracciole,A,Republican Period,7,-100,-30,70,0.1
960,Muracciole,A,Early Imperial Period,8,-30,100,130,0.1
960,Muracciole,A,Mid-Imperial Period,9,100,300,200,0.1
960,Muracciole,A,Late Imperial Period,10,300,500,200,0.1
961,Muracciole,A,Late Iron Age,5,-600,-580,20,0.1
961,Muracciole,A,Archaic Period,6,-580,-350,230,0.1
961,Muracciole,A,Republican Period,7,-350,-30,320,0.1
961,Muracciole,A,Early Imperial Period,8,-30,100,130,0.1
961,Muracciole,A,Mid-Imperial Period,9,100,300,200,0.1
961,Muracciole,A,Late Imperial Period,10,300,500,200,0.1
962,Muracciole,A,Late Iron Age,5,-600,-580,20,0.30000001
962,Muracciole,A,Archaic Period,6,-580,-500,80,0.30000001
963,Muracciole,A,Republican Period,7,-100,-30,70,0.1
963,Muracciole,A,Early Imperial Period,8,-30,100,130,0.1
964,Muracciole,A,Early Imperial Period,8,-30,100,130,0.30000001
965,,A,Early Imperial Period,8,-30,100,130,0.1
965,,A,Mid-Imperial Period,9,100,300,200,0.1
965,,A,Late Imperial Period,10,300,500,200,0.1
966,C.le Bruciato,A,Early Imperial Period,8,-30,100,130,0.1
966,C.le Bruciato,A,Mid-Imperial Period,9,100,300,200,0.1
967,C.le Bruciato,A,Republican Period,7,-200,-30,170,0.1
967,C.le Bruciato,A,Early Imperial Period,8,-30,100,130,0.1
968,Riserva del Lupinaro,A,Late Iron Age,5,-600,-580,20,0.1
968,Riserva del Lupinaro,A,Archaic Period,6,-580,-500,80,0.1
969,Riserva del Lupinaro,A,Archaic Period,6,-500,-350,150,0.30000001
969,Riserva del Lupinaro,A,Republican Period,7,-350,-30,320,0.30000001
969,Riserva del Lupinaro,A,Early Imperial Period,8,-30,100,130,0.30000001
970,Riserva del Lupinaro,A,Republican Period,7,-100,-30,70,0.1
970,Riserva del Lupinaro,A,Early Imperial Period,8,-30,100,130,0.1
971,Riserva del Lupinaro,A,Late Iron Age,5,-600,-580,20,0.89999998
971,Riserva del Lupinaro,A,Archaic Period,6,-580,-350,230,0.89999998
971,Riserva del Lupinaro,A,Republican Period,7,-350,-30,320,0.89999998
971,Riserva del Lupinaro,A,Early Imperial Period,8,-30,100,130,0.89999998
971,Riserva del Lupinaro,A,Mid-Imperial Period,9,100,300,200,0.89999998
972,Monte Cacchio,A,Republican Period,7,-100,-30,70,0.1
972,Monte Cacchio,A,Early Imperial Period,8,-30,100,130,0.1
973,Monte Cacchio,A,Republican Period,7,-100,-30,70,0.5
973,Monte Cacchio,A,Early Imperial Period,8,-30,100,130,0.5
974,Quarto Lungo,A,Late Iron Age,5,-600,-580,20,0.60000002
974,Quarto Lungo,A,Archaic Period,6,-580,-350,230,0.60000002
974,Quarto Lungo,A,Republican Period,7,-350,-200,150,0.60000002
975,C.le di Monte Spaccato,A,Republican Period,7,-200,-30,170,0.40000001
975,C.le di Monte Spaccato,A,Early Imperial Period,8,-30,100,130,0.40000001
975,C.le di Monte Spaccato,A,Mid-Imperial Period,9,100,300,200,0.40000001
975,C.le di Monte Spaccato,A,Late Imperial Period,10,300,500,200,0.40000001
976,Monte Spaccato,A,Late Iron Age,5,-600,-580,20,0.30000001
976,Monte Spaccato,A,Archaic Period,6,-580,-350,230,0.30000001
976,Monte Spaccato,A,Republican Period,7,-350,-30,320,0.30000001
976,Monte Spaccato,A,Early Imperial Period,8,-30,100,130,0.30000001
976,Monte Spaccato,A,Mid-Imperial Period,9,100,300,200,0.30000001
977,Perella di sotto,A,Late Iron Age,5,-600,-580,20,0.5
977,Perella di sotto,A,Archaic Period,6,-580,-350,230,0.5
977,Perella di sotto,A,Republican Period,7,-350,-30,320,0.5
977,Perella di sotto,A,Early Imperial Period,8,-30,100,130,0.5
978,Perella di sotto,A,Late Iron Age,5,-600,-580,20,0.30000001
978,Perella di sotto,A,Archaic Period,6,-580,-350,230,0.30000001
978,Perella di sotto,A,Republican Period,7,-350,-30,320,0.30000001
978,Perella di sotto,A,Early Imperial Period,8,-30,100,130,0.30000001
979,Perella di sotto,A,Late Iron Age,5,-600,-580,20,0.1
979,Perella di sotto,A,Archaic Period,6,-580,-350,230,0.1
979,Perella di sotto,A,Republican Period,7,-350,-30,320,0.1
979,Perella di sotto,A,Early Imperial Period,8,-30,100,130,0.1
979,Perella di sotto,A,Mid-Imperial Period,9,100,300,200,0.1
979,Perella di sotto,A,Late Imperial Period,10,300,500,200,0.1
980,Perella,A,Late Iron Age,5,-600,-580,20,0.30000001
980,Perella,A,Archaic Period,6,-580,-350,230,0.30000001
980,Perella,A,Republican Period,7,-350,-30,320,0.30000001
980,Perella,A,Early Imperial Period,8,-30,100,130,0.30000001
981,Perella,A,Archaic Period,6,-500,-350,150,0.2
981,Perella,A,Republican Period,7,-350,-30,320,0.2
981,Perella,A,Early Imperial Period,8,-30,100,130,0.2
981,Perella,A,Mid-Imperial Period,9,100,300,200,0.2
981,Perella,A,Late Imperial Period,10,300,500,200,0.2
982,Perella,A,Archaic Period,6,-500,-350,150,0.1
982,Perella,A,Republican Period,7,-350,-30,320,0.1
982,Perella,A,Early Imperial Period,8,-30,100,130,0.1
982,Perella,A,Mid-Imperial Period,9,100,300,200,0.1
982,Perella,A,Late Imperial Period,10,300,500,200,0.1
983,Farinone,A,Archaic Period,6,-500,-350,150,0.2
983,Farinone,A,Republican Period,7,-350,-30,320,0.2
983,Farinone,A,Early Imperial Period,8,-30,100,130,0.2
983,Farinone,A,Mid-Imperial Period,9,100,300,200,0.2
983,Farinone,A,Late Imperial Period,10,300,500,200,0.2
984,Farinone,A,Archaic Period,6,-500,-350,150,0.1
984,Farinone,A,Republican Period,7,-350,-30,320,0.1
